2024 132  12  0    -1.84    16.25   -19.43   -795.2    -25.3    -23.0   15.99    190977  -274.0 0 0   0.3618   19.62   0.2074   3.9269  -280.3
2024 132  13  0   -11.77     7.23   -23.27   -779.6    -65.0    -11.4   17.35    256988  -289.0 0 0   0.4004   20.57   0.0008   2.5812  -288.3
2024 132  14  0    -8.06    11.52   -19.72   -471.5      1.3     -0.9    2.30    161795  -307.0 0 0   0.4335    0.99   0.0058   2.5129  -258.2
2024 132  15  0   -11.00    -0.54    -8.47   -474.1      1.3     -0.9    2.52    181234  -274.0 0 0   0.4584    1.10  -0.0006   0.6383  -238.2
2024 132  16  0    -8.34    -7.56    -6.14   -482.8      1.4     -1.0    6.00    431649  -286.0 0 0   0.4732    2.71  -0.0155   1.0335  -247.4
2024 132  17  0    -6.15    -7.53    -3.86   -466.3      1.4     -0.9    2.30    161356  -281.0 0 0   0.4767    0.97  -0.0481   0.9245  -237.4
2024 132  18  0     2.92    10.59     3.71   -495.4      1.1     -1.4    2.04    114112  -227.0 0 0   0.4685    0.97   0.1104   0.4484  -196.5
2024 132  19  0    -1.84     0.51    -3.05   -495.9      1.5     -1.0    1.88    100333  -192.0 0 0   0.4495    0.90   0.0076   0.5720  -167.1
2024 132  20  0     2.63     2.37     3.68   -472.6      1.5     -1.0    2.64    211087  -228.0 0 0   0.4211    1.14  -0.0025   0.3218  -190.8
2024 132  21  0    -1.79    -0.45     1.78   -470.9      1.5     -1.0    2.76    213808  -180.0 0 0   0.3857    1.19  -0.0000   0.2646  -149.4
2024 132  22  0    -2.74     1.53     7.59   -471.5      1.5     -1.0    2.55    212344  -170.0 0 0   0.3458    1.10   0.0123   0.1562  -148.7
2024 132  23  0     6.40     8.05     1.13   -507.8      1.6     -1.1    5.17    362359  -181.0 0 0   0.3043    2.58   0.2188   0.5625  -162.3
