|B| in magnetotail where x < -2.
FORMAT:
YEAR    DAY    HOUR    MIN    |B|
2024     84       8     35    Infinity
2024     84       8     40    257.3374
2024     84       8     45    257.2082
2024     84       8     50    257.9232
2024     84       8     55    258.1581
2024     84       9      0    256.5194
2024     84       9      5    256.1125
2024     84       9     10    256.1449
2024     84       9     15    256.2420
2024     84       9     20    257.0142
2024     84       9     25    256.8444
2024     84       9     30    257.4669
2024     84       9     35    256.9826
2024     84       9     40    257.1635
2024     84       9     45    257.6827
2024     84       9     50    259.0989
2024     84       9     55    259.0506
2024     84      10      0    259.3969
2024     84      10      5    260.3783
2024     84      10     10    263.0371
2024     84      10     15    264.6615
2024     84      10     20    265.6598
2024     84      10     25    265.3620
2024     84      10     30    265.6005
2024     84      10     35    262.9568
2024     84      10     40    263.0050
2024     84      10     45    263.2116
2024     84      10     50    264.8654
2024     84      10     55    262.5360
2024     84      11      0    262.6280
2024     84      11      5    264.4925
2024     84      11     10    265.0620
2024     84      11     15    264.4827
2024     84      11     20    262.8351
2024     84      11     25    263.7160
2024     84      11     30    265.6854
2024     84      11     35    265.1695
2024     84      11     40    266.8771
2024     84      11     45    267.4784
2024     84      11     50    267.7061
2024     84      11     55    271.0087
2024     84      12      0    270.0547
2024     84      12      5    272.0705
2024     84      12     10    272.2082
2024     84      12     15    272.0468
2024     84      12     20    272.0706
2024     84      12     25    272.1021
2024     84      12     30    271.7094
2024     84      12     35    271.2666
2024     84      12     40    270.0829
2024     84      12     45    268.6880
2024     84      12     50    268.4731
2024     84      12     55    266.8710
2024     84      13      0    266.0970
2024     84      13      5    265.5124
2024     84      13     10    264.8618
2024     84      13     15    263.2211
2024     84      13     20    263.9312
2024     84      13     25    267.5528
2024     84      13     30    269.0198
2024     84      13     35    268.5975
2024     84      13     40    268.8160
2024     84      13     45    267.6629
2024     84      13     50    266.5553
2024     84      13     55    267.1934
2024     84      14      0    266.2931
2024     84      14      5    265.5258
2024     84      14     10    264.2942
2024     84      14     15    265.5938
2024     84      14     20    267.0289
2024     84      14     25    268.2894
2024     84      14     30    266.8533
2024     84      14     35    263.9089
2024     84      14     40    275.1787
2024     84      14     45    272.4506
2024     84      14     50    291.4540
2024     84      14     55    301.5317
2024     84      15      0    306.7525
2024     84      15      5    309.6649
2024     84      15     10    312.3463
2024     84      15     15    314.8025
2024     84      15     20    317.1653
2024     84      15     25    321.5488
2024     84      15     30    324.7436
2024     84      15     35    332.5762
2024     84      15     40    333.4595
2024     84      15     45    340.7875
2024     84      15     50    344.3193
2024     84      15     55    348.0426
2024     84      16      0    356.4563
2024     84      16      5    358.0450
2024     84      16     10    362.6818
2024     84      16     15    368.4632
