|B| in magnetotail where x < -2.
FORMAT:
YEAR    DAY    HOUR    MIN    |B|
2022    294      20     55    244.5656
2022    294      21      0    244.9364
2022    294      21      5    245.0699
2022    294      21     10    245.7990
2022    294      21     15    245.3430
2022    294      21     20    243.4046
2022    294      21     25    240.2380
2022    294      21     30    240.3515
2022    294      21     35    240.2584
2022    294      21     40    242.4374
2022    294      21     45    242.7286
2022    294      21     50    240.7631
2022    294      21     55    240.6932
2022    294      22      0    239.0687
2022    294      22      5    238.8878
2022    294      22     10    239.4619
2022    294      22     15    238.5624
2022    294      22     20    238.6678
2022    294      22     25    238.5358
2022    294      22     30    239.4530
2022    294      22     35    238.8245
2022    294      22     40    238.7671
2022    294      22     45    239.1410
2022    294      22     50    239.8330
2022    294      22     55    239.5924
2022    294      23      0    239.2207
2022    294      23      5    237.6327
2022    294      23     10    237.3825
2022    294      23     15    237.3950
2022    294      23     20    237.5235
2022    294      23     25    237.5803
2022    294      23     30    237.2470
2022    294      23     35    237.5720
2022    294      23     40    238.2771
2022    294      23     45    238.5392
2022    294      23     50    239.2101
2022    294      23     55    238.9413
2022    295       0      0    238.3131
2022    295       0      5    238.5871
2022    295       0     10    238.7796
2022    295       0     15    238.4990
2022    295       0     20    238.9395
2022    295       0     25    239.1083
2022    295       0     30    239.0021
2022    295       0     35    238.9180
2022    295       0     40    237.4440
2022    295       0     45    235.9839
2022    295       0     50    233.6584
2022    295       0     55    233.9799
2022    295       1      0    232.4399
2022    295       1      5    230.4879
2022    295       1     10    230.7086
2022    295       1     15    230.4964
2022    295       1     20    230.7115
2022    295       1     25    230.1738
2022    295       1     30    230.8459
2022    295       1     35    231.4509
2022    295       1     40    231.4523
2022    295       1     45    231.1189
2022    295       1     50    231.2532
2022    295       1     55    231.0125
2022    295       2      0    231.9030
2022    295       2      5    232.1600
2022    295       2     10    231.6688
2022    295       2     15    232.5877
2022    295       2     20    233.0988
2022    295       2     25    234.5269
2022    295       2     30    234.6362
2022    295       2     35    236.6211
2022    295       2     40    235.9570
2022    295       2     45    235.7019
2022    295       2     50    234.3594
2022    295       2     55    235.4457
2022    295       3      0    235.5828
2022    295       3      5    236.0482
2022    295       3     10    235.6271
2022    295       3     15    236.3359
2022    295       3     20    236.5245
2022    295       3     25    237.1074
2022    295       3     30    237.2277
2022    295       3     35    236.7329
2022    295       3     40    237.3435
2022    295       3     45    238.7325
2022    295       3     50    237.9010
2022    295       3     55    237.8643
2022    295       4      0    238.0366
2022    295       4      5    238.4577
2022    295       4     10    238.6581
2022    295       4     15    238.2059
2022    295       4     20    238.6504
2022    295       4     25    238.7822
2022    295       4     30    238.9666
2022    295       4     35    239.0975
2022    295       4     40    239.3165
2022    295       4     45    239.5879
2022    295       4     50    240.5185
2022    295       4     55    240.0953
2022    295       5      0    240.5999
2022    295       5      5    240.0511
2022    295       5     10    239.9281
2022    295       5     15    241.4656
2022    295       5     20    240.9118
2022    295       5     25    240.7473
2022    295       5     30    241.5660
2022    295       5     35    242.0487
2022    295       5     40    241.6426
2022    295       5     45    241.7007
2022    295       5     50    243.0028
2022    295       5     55    244.2643
2022    295       6      0    243.3807
2022    295       6      5    245.0600
2022    295       6     10    245.3686
2022    295       6     15    244.7536
2022    295       6     20    245.6082
2022    295       6     25    247.0960
2022    295       6     30    247.1544
2022    295       6     35    247.1693
2022    295       6     40    247.2215
2022    295       6     45    246.7875
2022    295       6     50    247.6991
2022    295       6     55    248.3742
2022    295       7      0    247.9931
2022    295       7      5    248.8421
2022    295       7     10    249.1020
2022    295       7     15    249.7844
2022    295       7     20    250.8108
2022    295       7     25    250.7154
2022    295       7     30    251.0760
2022    295       7     35    250.9146
2022    295       7     40    251.6666
2022    295       7     45    250.1192
2022    295       7     50    251.6365
2022    295       7     55    250.6825
2022    295       8      0    251.1024
2022    295       8      5    250.5776
2022    295       8     10    251.8112
2022    295       8     15    253.0386
2022    295       8     20    253.6078
2022    295       8     25    254.3062
2022    295       8     30    254.2495
2022    295       8     35    254.8170
2022    295       8     40    255.9972
2022    295       8     45    257.4509
2022    295       8     50    257.0644
2022    295       8     55    257.5192
2022    295       9      0    257.4844
2022    295       9      5    257.7666
2022    295       9     10    258.4559
2022    295       9     15    259.3195
2022    295       9     20    259.4782
2022    295       9     25    260.6180
2022    295       9     30    261.1152
2022    295       9     35    261.8143
2022    295       9     40    262.4926
2022    295       9     45    263.2407
2022    295       9     50    262.6693
2022    295       9     55    263.0142
2022    295      10      0    263.1158
2022    295      10      5    264.4062
2022    295      10     10    265.1234
2022    295      10     15    265.3466
2022    295      10     20    265.8803
2022    295      10     25    266.1121
2022    295      10     30    266.4877
2022    295      10     35    266.6407
2022    295      10     40    266.2728
2022    295      10     45    266.4292
2022    295      10     50    266.2329
2022    295      10     55    266.9332
2022    295      11      0    266.8896
2022    295      11      5    267.6908
2022    295      11     10    267.3994
2022    295      11     15    268.0224
2022    295      11     20    268.2134
2022    295      11     25    268.6073
2022    295      11     30    268.9309
2022    295      11     35    269.3477
2022    295      11     40    269.7976
2022    295      11     45    270.3494
2022    295      11     50    270.5889
2022    295      11     55    271.1354
2022    295      12      0    271.9028
2022    295      12      5    272.3457
2022    295      12     10    272.7692
2022    295      12     15    273.5585
2022    295      12     20    273.8145
2022    295      12     25    274.4045
2022    295      12     30    275.1374
2022    295      12     35    275.4638
2022    295      12     40    276.2636
2022    295      12     45    277.0407
2022    295      12     50    277.8750
2022    295      12     55    278.3163
2022    295      13      0    279.2912
2022    295      13      5    278.6023
2022    295      13     10    278.8021
2022    295      13     15    279.3678
2022    295      13     20    279.6665
2022    295      13     25    279.2959
2022    295      13     30    279.9762
2022    295      13     35    280.0142
2022    295      13     40    280.1611
2022    295      13     45    281.6040
2022    295      13     50    282.7055
2022    295      13     55    284.0939
2022    295      14      0    284.2679
2022    295      14      5    284.5789
2022    295      14     10    284.0441
2022    295      14     15    284.0657
2022    295      14     20    283.9988
2022    295      14     25    284.8177
2022    295      14     30    284.9881
2022    295      14     35    285.2395
2022    295      14     40    285.3835
2022    295      14     45    285.0404
2022    295      14     50    285.1053
2022    295      14     55    284.2410
2022    295      15      0    283.6216
2022    295      15      5    283.2858
2022    295      15     10    282.7515
2022    295      15     15    283.2328
2022    295      15     20    283.6124
2022    295      15     25    282.3030
2022    295      15     30    281.5427
2022    295      15     35    281.6884
2022    295      15     40    282.9064
2022    295      15     45    283.4293
2022    295      15     50    283.4639
2022    295      15     55    283.4064
2022    295      16      0    283.6639
2022    295      16      5    284.1090
2022    295      16     10    284.2842
2022    295      16     15    284.5747
2022    295      16     20    284.9011
2022    295      16     25    285.1230
2022    295      16     30    284.9943
2022    295      16     35    285.0711
2022    295      16     40    285.6128
2022    295      16     45    286.2479
2022    295      16     50    286.3484
2022    295      16     55    285.3034
2022    295      17      0    286.3625
2022    295      17      5    286.2725
2022    295      17     10    286.8004
2022    295      17     15    287.0556
2022    295      17     20    287.4302
2022    295      17     25    287.1589
2022    295      17     30    286.7702
2022    295      17     35    285.5889
2022    295      17     40    284.9722
2022    295      17     45    284.5850
2022    295      17     50    285.0102
2022    295      17     55    284.6322
2022    295      18      0    286.5553
2022    295      18      5    285.2160
2022    295      18     10    289.1448
2022    295      18     15    289.0462
2022    295      18     20    284.1715
2022    295      18     25    282.1561
2022    295      18     30    280.5692
2022    295      18     35    278.9525
2022    295      18     40    280.0402
2022    295      18     45    281.9552
2022    295      18     50    280.0894
2022    295      18     55    278.0942
2022    295      19      0    277.1040
2022    295      19      5    274.8878
2022    295      19     10    273.7840
2022    295      19     15    271.2471
2022    295      19     20    270.9112
2022    295      19     25    270.6751
2022    295      19     30    271.4707
2022    295      19     35    272.3888
2022    295      19     40    273.0715
2022    295      19     45    273.2485
2022    295      19     50    270.4033
2022    295      19     55    269.5730
2022    295      20      0    270.0093
2022    295      20      5    268.2998
2022    295      20     10    265.3839
2022    295      20     15    263.4879
2022    295      20     20    258.6766
2022    295      20     25    257.1590
2022    295      20     30    254.5436
2022    295      20     35    253.8235
2022    295      20     40    253.8627
2022    295      20     45    254.4712
2022    295      20     50    252.2200
2022    295      20     55    253.3602
2022    295      21      0    253.0591
2022    295      21      5    252.9474
2022    295      21     10    252.9588
2022    295      21     15    254.6248
2022    295      21     20    251.4034
2022    295      21     25    247.3229
2022    295      21     30    246.5670
2022    295      21     35    246.1472
2022    295      21     40    245.8991
2022    295      21     45    245.5707
2022    295      21     50    245.0930
2022    295      21     55    245.1383
2022    295      22      0    244.5847
2022    295      22      5    248.0577
2022    295      22     10    246.9218
2022    295      22     15    246.3184
2022    295      22     20    246.9305
2022    295      22     25    246.5039
2022    295      22     30    246.0010
2022    295      22     35    246.9982
2022    295      22     40    246.4300
2022    295      22     45    246.5037
2022    295      22     50    246.4887
2022    295      22     55    246.7041
2022    295      23      0    246.8872
2022    295      23      5    246.9193
2022    295      23     10    247.7237
2022    295      23     15    246.0836
2022    295      23     20    245.6106
2022    295      23     25    244.5236
2022    295      23     30    246.0672
2022    295      23     35    245.5714
2022    295      23     40    246.9993
