|B| in magnetotail where x < -2.
FORMAT:
YEAR    DAY    HOUR    MIN    |B|
2024    223       7     35    Infinity
2024    223       7     40    230.9552
2024    223       7     45    231.3603
2024    223       7     50    231.6111
2024    223       7     55    231.9685
2024    223       8      0    232.5747
2024    223       8      5    232.7786
2024    223       8     10    232.8287
2024    223       8     15    234.0908
2024    223       8     20    235.1448
2024    223       8     25    234.7862
2024    223       8     30    234.7554
2024    223       8     35    235.1113
2024    223       8     40    235.0303
2024    223       8     45    234.5685
2024    223       8     50    234.7659
2024    223       8     55    237.0478
2024    223       9      0    234.6706
2024    223       9      5    235.7527
2024    223       9     10    236.8937
2024    223       9     15    236.6484
2024    223       9     20    236.4341
2024    223       9     25    237.3362
2024    223       9     30    237.3221
2024    223       9     35    236.9304
2024    223       9     40    236.5384
2024    223       9     45    237.9270
2024    223       9     50    237.6356
2024    223       9     55    238.7180
2024    223      10      0    239.9861
2024    223      10      5    239.9338
2024    223      10     10    239.4637
2024    223      10     15    240.2191
2024    223      10     20    240.3332
2024    223      10     25    241.4969
2024    223      10     30    241.8058
2024    223      10     35    242.7074
2024    223      10     40    242.5732
2024    223      10     45    243.7840
2024    223      10     50    243.9935
2024    223      10     55    244.5802
2024    223      11      0    246.3210
2024    223      11      5    245.4875
2024    223      11     10    247.3316
2024    223      11     15    250.6119
2024    223      11     20    247.8610
2024    223      11     25    248.2458
2024    223      11     30    247.2450
2024    223      11     35    247.0736
2024    223      11     40    247.1620
2024    223      11     45    248.4562
2024    223      11     50    251.9913
2024    223      11     55    254.1873
2024    223      12      0    254.7147
2024    223      12      5    247.6139
2024    223      12     10    247.9097
2024    223      12     15    248.0244
2024    223      12     20    248.2528
2024    223      12     25    249.0100
2024    223      12     30    253.3578
2024    223      12     35    251.2053
2024    223      12     40    251.9695
2024    223      12     45    251.2364
2024    223      12     50    251.0001
2024    223      12     55    251.7761
2024    223      13      0    253.0810
2024    223      13      5    251.8477
2024    223      13     10    252.4690
2024    223      13     15    252.7971
2024    223      13     20    253.1195
2024    223      13     25    254.2528
2024    223      13     30    255.9243
2024    223      13     35    257.5338
2024    223      13     40    258.7612
2024    223      13     45    259.9944
2024    223      13     50    259.7675
2024    223      13     55    259.9165
2024    223      14      0    261.0118
2024    223      14      5    255.1109
2024    223      14     10    254.9786
2024    223      14     15    255.6271
2024    223      14     20    255.8617
2024    223      14     25    255.6300
2024    223      14     30    257.7206
2024    223      14     35    260.2160
2024    223      14     40    258.9304
2024    223      14     45    263.7384
2024    223      14     50    266.2144
2024    223      14     55    265.4292
2024    223      15      0    265.6820
2024    223      15      5    267.8694
2024    223      15     10    266.9540
2024    223      15     15    267.4982
2024    223      15     20    267.4935
2024    223      15     25    268.6015
2024    223      15     30    265.5708
2024    223      15     35    265.6402
2024    223      15     40    267.7353
2024    223      15     45    267.2445
2024    223      15     50    267.9991
2024    223      15     55    267.6085
2024    223      16      0    267.0257
2024    223      16      5    266.6925
2024    223      16     10    265.6568
2024    223      16     15    264.5557
2024    223      16     20    264.0320
2024    223      16     25    262.4652
2024    223      16     30    261.0036
2024    223      16     35    259.8824
2024    223      16     40    262.3379
2024    223      16     45    261.0958
2024    223      16     50    260.2471
2024    223      16     55    259.4487
2024    223      17      0    258.6088
2024    223      17      5    259.0780
2024    223      17     10    261.5806
2024    223      17     15    262.1135
2024    223      17     20    260.3758
2024    223      17     25    254.9273
2024    223      17     30    255.2754
2024    223      17     35    255.0445
2024    223      17     40    255.4939
2024    223      17     45    260.7043
2024    223      17     50    261.8886
2024    223      17     55    262.2526
2024    223      18      0    260.8300
2024    223      18      5    257.5035
2024    223      18     10    256.6437
2024    223      18     15    256.0656
2024    223      18     20    255.5058
2024    223      18     25    255.9571
2024    223      18     30    256.1901
2024    223      18     35    256.0213
2024    223      18     40    255.5072
2024    223      18     45    254.6152
2024    223      18     50    254.5707
2024    223      18     55    254.4295
2024    223      19      0    254.4863
2024    223      19      5    254.5016
2024    223      19     10    253.8690
2024    223      19     15    253.3234
2024    223      19     20    252.2129
2024    223      19     25    252.0143
2024    223      19     30    251.2199
2024    223      19     35    250.0294
2024    223      19     40    249.9995
2024    223      19     45    250.0341
2024    223      19     50    249.5622
2024    223      19     55    248.6869
2024    223      20      0    248.0988
2024    223      20      5    245.7951
2024    223      20     10    246.2736
2024    223      20     15    247.1835
2024    223      20     20    249.4688
2024    223      20     25    247.6379
2024    223      20     30    247.4320
2024    223      20     35    244.5773
2024    223      20     40    245.8069
2024    223      20     45    244.7574
2024    223      20     50    245.5968
2024    223      20     55    244.3399
2024    223      21      0    241.8596
2024    223      21      5    238.7394
2024    223      21     10    239.3044
2024    223      21     15    239.6807
2024    223      21     20    237.9882
2024    223      21     25    239.0439
2024    223      21     30    241.1408
2024    223      21     35    241.2163
2024    223      21     40    239.5374
2024    223      21     45    238.4511
2024    223      21     50    239.6659
2024    223      21     55    238.9274
2024    223      22      0    238.5023
2024    223      22      5    238.1172
2024    223      22     10    237.5287
2024    223      22     15    237.6099
2024    223      22     20    234.7510
2024    223      22     25    234.2408
2024    223      22     30    233.0124
2024    223      22     35    232.3663
2024    223      22     40    231.8580
2024    223      22     45    231.3697
2024    223      22     50    231.2685
2024    223      22     55    229.6608
2024    223      23      0    229.8528
2024    223      23      5    227.4775
2024    223      23     10    226.3491
2024    223      23     15    226.2217
2024    223      23     20    225.9088
2024    223      23     25    225.8588
2024    223      23     30    224.3388
2024    223      23     35    224.2994
2024    223      23     40    224.3344
2024    223      23     45    224.4911
2024    223      23     50    225.0214
2024    223      23     55    224.9443
2024    224       0      0    226.0794
2024    224       0      5    226.5201
2024    224       0     10    226.6781
2024    224       0     15    226.6510
2024    224       0     20    226.9539
2024    224       0     25    225.8325
2024    224       0     30    224.5818
2024    224       0     35    225.3878
2024    224       0     40    225.5306
2024    224       0     45    227.3030
2024    224       0     50    227.4624
2024    224       0     55    227.3803
2024    224       1      0    227.2046
2024    224       1      5    227.4061
2024    224       1     10    227.2347
2024    224       1     15    226.3975
2024    224       1     20    225.7602
2024    224       1     25    224.9048
2024    224       1     30    224.5956
2024    224       1     35    223.9574
2024    224       1     40    226.1419
2024    224       1     45    225.1120
2024    224       1     50    224.4552
2024    224       1     55    225.0243
2024    224       2      0    224.8332
2024    224       2      5    224.4702
2024    224       2     10    223.5519
2024    224       2     15    223.1457
2024    224       2     20    224.2272
2024    224       2     25    225.0675
2024    224       2     30    225.8678
2024    224       2     35    225.9089
2024    224       2     40    227.0501
2024    224       2     45    228.8565
2024    224       2     50    228.5040
2024    224       2     55    229.9722
2024    224       3      0    230.0830
2024    224       3      5    230.9475
2024    224       3     10    231.0456
2024    224       3     15    231.1656
2024    224       3     20    231.5611
2024    224       3     25    232.4192
2024    224       3     30    232.8653
2024    224       3     35    232.9255
2024    224       3     40    231.5495
2024    224       3     45    230.5845
2024    224       3     50    230.6189
2024    224       3     55    231.3271
2024    224       4      0    231.6874
2024    224       4      5    231.5421
2024    224       4     10    231.4565
2024    224       4     15    232.3311
2024    224       4     20    232.4872
2024    224       4     25    231.0498
2024    224       4     30    231.4838
2024    224       4     35    233.1968
2024    224       4     40    233.4670
2024    224       4     45    232.9096
2024    224       4     50    232.9663
2024    224       4     55    231.1407
2024    224       5      0    234.6268
2024    224       5      5    234.6012
2024    224       5     10    235.0101
2024    224       5     15    235.9326
2024    224       5     20    237.5004
2024    224       5     25    237.6287
2024    224       5     30    237.9004
2024    224       5     35    239.2821
2024    224       5     40    239.7127
2024    224       5     45    240.3346
2024    224       5     50    238.0759
2024    224       5     55    239.9196
2024    224       6      0    242.2948
2024    224       6      5    243.6684
2024    224       6     10    245.8897
2024    224       6     15    247.3549
2024    224       6     20    249.4993
2024    224       6     25    250.6547
2024    224       6     30    253.0380
2024    224       6     35    256.4570
2024    224       6     40    262.3845
2024    224       6     45    261.7794
2024    224       6     50    253.0110
2024    224       6     55    250.4455
2024    224       7      0    248.9094
2024    224       7      5    251.1737
2024    224       7     10    253.7775
2024    224       7     15    256.0404
2024    224       7     20    256.5288
2024    224       7     25    253.7438
2024    224       7     30    254.9081
2024    224       7     35    254.4868
2024    224       7     40    255.5042
2024    224       7     45    257.2876
2024    224       7     50    256.3063
2024    224       7     55    256.2276
2024    224       8      0    255.1706
2024    224       8      5    256.6177
2024    224       8     10    258.7667
2024    224       8     15    261.1880
2024    224       8     20    260.8681
2024    224       8     25    254.1676
2024    224       8     30    253.2005
2024    224       8     35    254.6454
2024    224       8     40    255.1922
2024    224       8     45    258.4418
2024    224       8     50    258.5354
2024    224       8     55    254.6122
2024    224       9      0    254.3369
2024    224       9      5    254.7329
2024    224       9     10    256.2696
2024    224       9     15    257.6722
2024    224       9     20    259.9433
2024    224       9     25    257.1974
2024    224       9     30    258.7637
2024    224       9     35    259.2964
2024    224       9     40    258.6641
2024    224       9     45    258.8533
2024    224       9     50    262.7575
2024    224       9     55    263.7774
2024    224      10      0    260.4214
2024    224      10      5    250.4475
2024    224      10     10    250.9324
2024    224      10     15    250.7073
2024    224      10     20    251.2664
2024    224      10     25    251.9693
2024    224      10     30    250.8814
2024    224      10     35    250.0430
2024    224      10     40    250.2996
2024    224      10     45    251.4809
2024    224      10     50    254.5983
2024    224      10     55    253.8037
2024    224      11      0    259.1440
2024    224      11      5    265.7443
2024    224      11     10    265.9475
2024    224      11     15    268.6293
2024    224      11     20    268.6455
2024    224      11     25    268.6722
2024    224      11     30    265.8192
2024    224      11     35    276.9576
2024    224      11     40    276.6766
2024    224      11     45    270.4317
2024    224      11     50    268.4944
2024    224      11     55    267.1811
2024    224      12      0    264.2329
2024    224      12      5    266.1802
2024    224      12     10    267.5781
2024    224      12     15    266.0342
2024    224      12     20    266.1279
2024    224      12     25    263.0925
2024    224      12     30    262.1030
2024    224      12     35    263.7044
2024    224      12     40    265.4492
2024    224      12     45    266.3064
2024    224      12     50    268.8456
2024    224      12     55    269.7858
2024    224      13      0    272.2366
2024    224      13      5    273.5432
2024    224      13     10    270.4956
2024    224      13     15    272.8926
2024    224      13     20    274.4694
2024    224      13     25    274.0540
2024    224      13     30    272.3318
2024    224      13     35    275.6043
2024    224      13     40    273.0353
2024    224      13     45    275.7146
2024    224      13     50    279.1222
2024    224      13     55    278.0186
2024    224      14      0    282.6222
2024    224      14      5    293.2160
2024    224      14     10    296.0582
2024    224      14     15    293.7967
2024    224      14     20    288.4663
2024    224      14     25    286.3743
2024    224      14     30    285.4395
2024    224      14     35    289.4546
2024    224      14     40    289.6772
2024    224      14     45    287.7223
2024    224      14     50    282.1539
2024    224      14     55    279.4399
2024    224      15      0    279.4312
2024    224      15      5    278.2768
2024    224      15     10    284.7802
2024    224      15     15    289.2279
2024    224      15     20    289.8295
2024    224      15     25    288.3674
2024    224      15     30    287.7451
2024    224      15     35    284.5705
2024    224      15     40    287.9708
2024    224      15     45    285.7240
2024    224      15     50    275.0563
2024    224      15     55    274.9293
2024    224      16      0    275.0262
2024    224      16      5    275.7367
2024    224      16     10    275.8642
2024    224      16     15    275.4643
2024    224      16     20    276.8139
2024    224      16     25    275.2566
2024    224      16     30    274.1622
2024    224      16     35    274.4831
2024    224      16     40    273.8759
2024    224      16     45    279.6532
2024    224      16     50    279.4600
2024    224      16     55    281.7049
2024    224      17      0    284.7363
2024    224      17      5    284.3631
2024    224      17     10    282.5484
2024    224      17     15    282.6643
2024    224      17     20    282.0185
2024    224      17     25    281.4632
2024    224      17     30    281.9366
2024    224      17     35    283.8794
2024    224      17     40    287.7335
2024    224      17     45    285.6412
2024    224      17     50    285.9405
2024    224      17     55    283.1223
2024    224      18      0    281.5448
2024    224      18      5    277.4943
2024    224      18     10    274.5572
2024    224      18     15    275.4921
2024    224      18     20    273.6279
2024    224      18     25    274.2339
2024    224      18     30    273.1875
2024    224      18     35    273.3058
2024    224      18     40    274.6998
2024    224      18     45    274.8831
2024    224      18     50    275.6803
2024    224      18     55    274.1484
2024    224      19      0    274.9974
2024    224      19      5    275.5779
2024    224      19     10    274.6550
2024    224      19     15    276.3300
2024    224      19     20    277.2917
2024    224      19     25    279.0387
2024    224      19     30    269.6219
2024    224      19     35    273.7936
2024    224      19     40    273.7676
2024    224      19     45    277.1705
2024    224      19     50    273.5616
2024    224      19     55    271.4915
2024    224      20      0    272.9329
