|B| in magnetotail where x < -2.
FORMAT:
YEAR    DAY    HOUR    MIN    |B|
2018    238       1     20    160.3371
2018    238       1     25    161.3298
2018    238       1     30    161.1551
2018    238       1     35    160.0729
2018    238       1     40    159.7129
2018    238       1     45    159.4504
2018    238       1     50    158.9003
2018    238       1     55    158.8217
2018    238       2      0    158.0240
2018    238       2      5    159.0460
2018    238       2     10    159.2720
2018    238       2     15    160.9845
2018    238       2     20    160.8502
2018    238       2     25    164.1841
2018    238       2     30    164.9889
2018    238       2     35    164.7791
2018    238       2     40    167.1797
2018    238       2     45    167.3300
2018    238       2     50    167.9412
2018    238       2     55    168.3685
2018    238       3      0    169.1275
2018    238       3      5    168.8841
2018    238       3     10    169.4816
2018    238       3     15    171.4162
2018    238       3     20    172.8370
2018    238       3     25    173.8609
2018    238       3     30    173.7093
2018    238       3     35    176.1812
2018    238       3     40    176.1305
2018    238       3     45    176.3114
2018    238       3     50    176.2442
2018    238       3     55    177.1603
2018    238       4      0    178.6164
2018    238       4      5    182.9014
2018    238       4     10    182.4558
2018    238       4     15    184.7027
2018    238       4     20    184.0802
2018    238       4     25    182.7167
2018    238       4     30    183.5129
2018    238       4     35    183.9879
2018    238       4     40    186.5775
2018    238       4     45    187.9310
2018    238       4     50    189.0280
2018    238       4     55    190.6003
2018    238       5      0    188.2864
2018    238       5      5    190.1189
2018    238       5     10    189.0909
2018    238       5     15    188.2959
2018    238       5     20    186.4567
2018    238       5     25    191.0403
2018    238       5     30    192.0759
2018    238       5     35    194.4848
2018    238       5     40    195.0227
2018    238       5     45    195.7849
2018    238       5     50    195.3061
2018    238       5     55    194.5950
2018    238       6      0    194.3403
2018    238       6      5    193.5726
2018    238       6     10    192.4589
2018    238       6     15    192.7632
2018    238       6     20    194.9717
2018    238       6     25    195.5788
2018    238       6     30    196.2994
2018    238       6     35    195.3616
2018    238       6     40    195.2486
2018    238       6     45    197.7029
2018    238       6     50    197.3705
2018    238       6     55    198.5673
2018    238       7      0    199.2289
2018    238       7      5    199.7680
2018    238       7     10    197.5979
2018    238       7     15    197.5054
2018    238       7     20    196.7575
2018    238       7     25    197.2699
2018    238       7     30    194.2862
2018    238       7     35    195.2363
2018    238       7     40    194.1463
2018    238       7     45    193.2915
2018    238       7     50    192.7228
2018    238       7     55    194.3708
2018    238       8      0    194.3936
2018    238       8      5    192.0347
2018    238       8     10    191.0126
2018    238       8     15    192.7875
2018    238       8     20    192.9089
2018    238       8     25    191.3243
2018    238       8     30    192.1933
2018    238       8     35    188.0644
2018    238       8     40    187.7662
2018    238       8     45    187.1361
2018    238       8     50    186.1229
2018    238       8     55    187.7839
2018    238       9      0    187.2685
2018    238       9      5    186.5103
2018    238       9     10    185.6365
2018    238       9     15    183.1801
2018    238       9     20    183.3341
2018    238       9     25    182.8841
2018    238       9     30    183.2225
2018    238       9     35    181.3790
2018    238       9     40    181.1418
2018    238       9     45    180.8020
2018    238       9     50    179.3667
2018    238       9     55    179.1844
2018    238      10      0    177.6959
2018    238      10      5    176.4496
2018    238      10     10    175.3123
2018    238      10     15    174.7156
2018    238      10     20    173.1426
2018    238      10     25    172.9407
2018    238      10     30    174.4424
2018    238      10     35    174.0916
2018    238      10     40    173.4397
2018    238      10     45    173.6521
2018    238      10     50    172.1031
2018    238      10     55    172.1455
2018    238      11      0    172.6080
2018    238      11      5    172.3739
2018    238      11     10    172.4382
2018    238      11     15    172.8206
2018    238      11     20    173.6276
2018    238      11     25    174.1562
2018    238      11     30    174.4265
2018    238      11     35    174.7707
2018    238      11     40    173.5909
2018    238      11     45    173.0617
2018    238      11     50    173.4217
2018    238      11     55    173.4522
2018    238      12      0    173.2677
2018    238      12      5    173.0589
2018    238      12     10    173.3515
2018    238      12     15    174.1970
2018    238      12     20    174.6982
2018    238      12     25    175.5374
2018    238      12     30    176.8603
2018    238      12     35    176.2629
2018    238      12     40    176.7604
2018    238      12     45    176.4151
2018    238      12     50    176.2656
2018    238      12     55    175.3112
2018    238      13      0    175.3753
2018    238      13      5    175.4014
2018    238      13     10    174.4029
2018    238      13     15    172.4084
2018    238      13     20    175.6489
2018    238      13     25    176.2590
2018    238      13     30    174.5767
2018    238      13     35    173.8709
2018    238      13     40    174.4959
2018    238      13     45    174.1669
2018    238      13     50    173.6033
2018    238      13     55    173.0826
2018    238      14      0    171.2258
2018    238      14      5    171.2873
2018    238      14     10    169.6518
2018    238      14     15    169.9223
2018    238      14     20    169.4508
2018    238      14     25    170.9584
2018    238      14     30    171.6145
2018    238      14     35    172.2824
2018    238      14     40    172.2956
2018    238      14     45    172.5900
2018    238      14     50    172.8111
2018    238      14     55    173.5365
2018    238      15      0    174.5497
2018    238      15      5    173.7846
2018    238      15     10    173.8332
2018    238      15     15    173.9553
2018    238      15     20    175.0153
2018    238      15     25    175.5959
2018    238      15     30    175.0610
2018    238      15     35    174.8591
2018    238      15     40    176.2492
2018    238      15     45    176.3027
2018    238      15     50    176.3263
2018    238      15     55    174.7776
2018    238      16      0    175.1926
2018    238      16      5    175.0918
2018    238      16     10    175.5264
2018    238      16     15    174.8065
2018    238      16     20    175.4490
2018    238      16     25    176.2820
2018    238      16     30    175.7370
2018    238      16     35    176.2134
2018    238      16     40    175.4233
2018    238      16     45    175.3777
2018    238      16     50    174.2042
2018    238      16     55    173.7091
2018    238      17      0    173.6608
2018    238      17      5    173.2434
2018    238      17     10    172.0187
2018    238      17     15    172.3583
2018    238      17     20    172.4346
2018    238      17     25    171.2691
2018    238      17     30    170.6279
2018    238      17     35    169.0535
2018    238      17     40    168.3088
2018    238      17     45    167.1234
2018    238      17     50    166.1794
2018    238      17     55    164.7574
2018    238      18      0    163.9875
2018    238      18      5    164.3135
2018    238      18     10    164.0173
2018    238      18     15    164.5529
2018    238      18     20    163.7296
2018    238      18     25    162.9805
2018    238      18     30    161.9308
2018    238      18     35    160.5984
2018    238      18     40    159.9986
