#Avg |Bx| across y-z plane in magnetotail
#FORMAT:
YEAR    DAY    HOUR    MIN    x:-12.00    -11.00      -10.00       -9.00       -8.00       -7.00       -6.00       -5.00       -4.00       -3.00      
2018      237        18       55               14.           16.           20.           24.           31.           41.           57.           84.          128.          206.  
2018      237        19        0               14.           16.           20.           25.           31.           41.           57.           84.          128.          206.  
2018      237        19        5               13.           16.           19.           24.           31.           41.           57.           84.          128.          206.  
2018      237        19       10               14.           16.           20.           25.           31.           41.           57.           84.          128.          205.  
2018      237        19       15               14.           16.           20.           24.           31.           41.           57.           84.          128.          205.  
2018      237        19       20               14.           16.           20.           24.           31.           41.           57.           84.          128.          205.  
2018      237        19       25               14.           16.           20.           24.           31.           41.           57.           84.          128.          205.  
2018      237        19       30               13.           16.           19.           24.           31.           41.           57.           83.          128.          205.  
2018      237        19       35               13.           16.           19.           24.           31.           40.           57.           83.          127.          205.  
2018      237        19       40               13.           16.           19.           24.           31.           41.           57.           83.          127.          204.  
2018      237        19       45               13.           16.           19.           24.           31.           41.           57.           83.          127.          205.  
2018      237        19       50               13.           16.           19.           24.           30.           40.           57.           83.          127.          204.  
2018      237        19       55               13.           16.           19.           24.           30.           40.           57.           83.          127.          204.  
2018      237        20        0               13.           16.           19.           24.           30.           40.           56.           83.          127.          204.  
2018      237        20        5               13.           15.           18.           23.           29.           39.           56.           83.          127.          205.  
2018      237        20       10               13.           15.           18.           23.           29.           39.           56.           82.          127.          204.  
2018      237        20       15               13.           15.           19.           23.           29.           39.           56.           82.          127.          204.  
2018      237        20       20               13.           15.           19.           23.           30.           39.           56.           82.          126.          203.  
2018      237        20       25               13.           15.           19.           23.           30.           40.           56.           82.          126.          203.  
2018      237        20       30               13.           15.           19.           23.           30.           40.           56.           82.          126.          203.  
2018      237        20       35               13.           15.           19.           23.           30.           39.           56.           82.          126.          203.  
2018      237        20       40               13.           15.           18.           23.           29.           39.           55.           82.          126.          203.  
2018      237        20       45               13.           15.           18.           23.           29.           39.           55.           82.          126.          203.  
2018      237        20       50               13.           15.           18.           23.           29.           39.           55.           82.          126.          202.  
2018      237        20       55               13.           15.           18.           23.           29.           39.           55.           82.          125.          201.  
2018      237        21        0               13.           15.           18.           23.           29.           39.           55.           82.          126.          202.  
2018      237        21        5               12.           15.           18.           22.           29.           38.           55.           81.          125.          202.  
2018      237        21       10               12.           15.           18.           22.           28.           38.           55.           81.          125.          202.  
2018      237        21       15               12.           15.           18.           22.           28.           38.           55.           81.          125.          202.  
2018      237        21       20               13.           15.           18.           23.           29.           39.           55.           81.          125.          201.  
2018      237        21       25               13.           15.           18.           23.           29.           39.           55.           81.          125.          200.  
2018      237        21       30               12.           15.           18.           22.           29.           39.           55.           81.          125.          201.  
2018      237        21       35               12.           15.           18.           23.           29.           39.           55.           81.          125.          200.  
2018      237        21       40               12.           15.           18.           22.           29.           38.           55.           81.          125.          200.  
2018      237        21       45               12.           15.           18.           22.           29.           39.           55.           81.          124.          200.  
2018      237        21       50               12.           15.           18.           22.           29.           39.           55.           81.          124.          200.  
2018      237        21       55               12.           15.           18.           22.           29.           38.           55.           81.          124.          200.  
2018      237        22        0               12.           15.           18.           22.           29.           38.           54.           81.          124.          199.  
2018      237        22        5               12.           15.           18.           22.           28.           38.           54.           81.          124.          199.  
2018      237        22       10               12.           15.           18.           22.           28.           38.           54.           80.          124.          199.  
2018      237        22       15               12.           15.           18.           22.           28.           38.           54.           80.          124.          199.  
2018      237        22       20               12.           15.           18.           22.           28.           38.           54.           80.          124.          199.  
2018      237        22       25               12.           15.           18.           22.           28.           38.           54.           80.          124.          199.  
2018      237        22       30               12.           14.           18.           22.           28.           38.           54.           80.          124.          199.  
2018      237        22       35               12.           14.           18.           22.           28.           38.           54.           80.          123.          199.  
2018      237        22       40               12.           14.           18.           22.           28.           38.           54.           80.          123.          199.  
2018      237        22       45               12.           14.           18.           22.           28.           38.           54.           80.          123.          199.  
2018      237        22       50               12.           14.           18.           22.           28.           38.           54.           80.          123.          198.  
2018      237        22       55               12.           14.           18.           22.           28.           38.           54.           80.          123.          198.  
2018      237        23        0               12.           14.           18.           22.           28.           38.           54.           80.          123.          198.  
2018      237        23        5               12.           14.           18.           22.           28.           38.           54.           80.          123.          198.  
2018      237        23       10               12.           14.           18.           22.           28.           38.           54.           80.          123.          197.  
2018      237        23       15               12.           14.           18.           22.           28.           38.           54.           80.          123.          197.  
2018      237        23       20               12.           14.           18.           22.           28.           38.           53.           80.          123.          197.  
2018      237        23       25               12.           14.           18.           22.           28.           37.           53.           79.          122.          197.  
2018      237        23       30               12.           14.           17.           22.           28.           37.           53.           79.          122.          197.  
2018      237        23       35               12.           14.           17.           22.           28.           37.           53.           79.          122.          197.  
2018      237        23       40               12.           14.           17.           22.           28.           37.           53.           79.          122.          197.  
2018      237        23       45               12.           14.           17.           21.           27.           37.           53.           79.          122.          197.  
2018      237        23       50               12.           14.           17.           22.           27.           37.           53.           79.          122.          196.  
2018      237        23       55               12.           14.           17.           22.           28.           37.           53.           79.          122.          196.  
2018      238         0        0               12.           14.           17.           22.           27.           37.           53.           79.          122.          196.  
2018      238         0        5               12.           14.           17.           21.           27.           37.           53.           79.          122.          196.  
2018      238         0       10               12.           14.           17.           21.           27.           37.           53.           79.          122.          196.  
2018      238         0       15               12.           14.           17.           21.           27.           37.           53.           79.          122.          196.  
2018      238         0       20               12.           14.           17.           21.           27.           37.           53.           79.          122.          196.  
2018      238         0       25               12.           14.           17.           21.           27.           37.           53.           79.          122.          196.  
2018      238         0       30               12.           14.           17.           21.           27.           37.           53.           79.          121.          195.  
2018      238         0       35               12.           14.           17.           21.           27.           37.           53.           79.          121.          195.  
2018      238         0       40               12.           14.           17.           21.           27.           37.           53.           79.          121.          195.  
2018      238         0       45               12.           14.           17.           21.           27.           37.           52.           78.          121.          195.  
2018      238         0       50               12.           14.           17.           21.           27.           37.           52.           78.          121.          195.  
2018      238         0       55               12.           14.           17.           21.           27.           37.           52.           78.          121.          195.  
2018      238         1        0               12.           14.           17.           21.           27.           37.           52.           78.          121.          195.  
2018      238         1        5               12.           14.           17.           21.           27.           36.           52.           78.          121.          195.  
2018      238         1       10               12.           14.           17.           21.           27.           36.           52.           78.          121.          195.  
