|B| in magnetotail where x < -2.
FORMAT:
YEAR    DAY    HOUR    MIN    |B|
2018    237       6     35      0.1900
2018    237       6     40    230.9139
2018    237       6     45    231.5271
2018    237       6     50    232.1102
2018    237       6     55    231.7228
2018    237       7      0    230.7740
2018    237       7      5    230.9301
2018    237       7     10    230.8200
2018    237       7     15    231.9766
2018    237       7     20    232.3308
2018    237       7     25    232.3879
2018    237       7     30    232.6958
2018    237       7     35    234.1108
2018    237       7     40    233.7943
2018    237       7     45    234.9168
2018    237       7     50    235.6700
2018    237       7     55    236.4817
2018    237       8      0    238.1208
2018    237       8      5    238.7212
2018    237       8     10    241.5011
2018    237       8     15    242.7154
2018    237       8     20    247.2646
2018    237       8     25    249.1513
2018    237       8     30    249.0758
2018    237       8     35    250.0889
2018    237       8     40    246.9375
2018    237       8     45    243.9451
2018    237       8     50    241.3139
2018    237       8     55    242.2673
2018    237       9      0    242.2099
2018    237       9      5    243.2799
2018    237       9     10    244.2709
2018    237       9     15    244.1384
2018    237       9     20    245.7774
2018    237       9     25    246.2917
2018    237       9     30    246.4434
2018    237       9     35    246.0619
2018    237       9     40    245.5483
2018    237       9     45    245.4719
2018    237       9     50    248.0796
2018    237       9     55    247.3263
2018    237      10      0    248.5598
2018    237      10      5    247.9087
2018    237      10     10    247.6044
2018    237      10     15    248.8394
2018    237      10     20    250.6829
2018    237      10     25    250.8898
2018    237      10     30    250.4178
2018    237      10     35    249.8878
2018    237      10     40    250.3505
2018    237      10     45    251.6864
2018    237      10     50    251.0672
2018    237      10     55    253.5688
2018    237      11      0    255.6804
2018    237      11      5    256.4831
2018    237      11     10    255.3900
2018    237      11     15    257.1734
2018    237      11     20    257.5094
2018    237      11     25    258.2678
2018    237      11     30    259.3641
2018    237      11     35    259.5845
2018    237      11     40    259.5081
2018    237      11     45    259.2008
2018    237      11     50    256.4314
2018    237      11     55    257.2341
2018    237      12      0    255.8134
2018    237      12      5    255.8727
2018    237      12     10    255.0268
2018    237      12     15    255.0637
2018    237      12     20    254.8687
