#  Format: 
#    1) Maximal reconnection rate at closest pressure dip 
#   2) Distance from earth 
#   3) Rate from critical 
#   4) Distance from critical
14363.8695 5.2447 100.5621 5.3435
78.0395 5.6605 14.8449 5.5601
10502.6138 5.4555 67.7344 5.4472
38.1260 5.8157 5.9751 5.7207
260.2124 4.9350 170.8131 5.0422
185.6689 5.3363 22.2040 5.3435
178.4980 5.0912 107.7621 5.2465
4.4391 7.2708 2.1811 6.0208
88.1349 5.5843 7.8290 5.5100
188.3061 5.1661 27.7776 5.2966
285.9434 5.0132 191.0702 5.1461
73.7714 5.6873 6.3555 5.6152
342.2934 4.8681 143.8840 4.9920
791.3363 4.9619 186.6933 5.0959
92.2192 5.5843 7.5855 5.5100
2237.9879 5.9371 139.0148 5.9823
538.8167 5.5959 322.7686 5.6896
8.3034 7.8269 1.6014 5.9763
70.5859 5.6510 9.3191 5.5651
231.4223 5.0894 61.8455 5.1963
8801.0292 5.4555 72.4212 5.4472
232.1429 5.0986 71.8772 5.1963
193.5916 5.2884 35.8524 5.3435
35.7101 6.1100 30.3536 6.1522
182.3644 4.9156 211.3951 5.0959
541.8601 4.8570 176.0967 4.9920
19.4265 5.9388 4.6859 5.7604
171.9275 5.2622 39.7085 5.3468
245.4713 4.8761 172.4500 5.0422
1171.1459 5.2272 80.5903 5.2904
136.1650 6.0531 20.0182 6.0885
449.2339 5.6010 223.5982 5.3150
71.7029 5.6510 8.2460 5.5651
4.0952 7.2825 2.3678 5.9656
1204.5120 5.0374 215.5143 5.1963
437.2806 4.8955 157.5118 5.0422
93.1886 5.5377 14.9402 5.5100
623.4040 5.1560 88.1111 5.2430
8.3504 7.8269 1.6188 5.9263
1162.8823 5.1414 96.4158 5.2430
1143.8413 5.3775 103.1166 5.3208
174.3687 4.9149 205.6876 5.0959
92.1047 5.6696 29.9751 5.4552
212.0766 5.0315 54.8389 5.2002
393.8095 4.8856 178.0436 5.0422
188.9461 5.1703 68.3864 5.2966
223.1897 5.8514 46.4278 5.7327
320.2510 4.8959 97.7087 5.0458
73.5062 5.6259 15.8590 5.5601
121.2318 5.2807 57.1284 5.3507
82.2618 5.6451 5.4309 5.5601
665.8659 5.1181 189.6684 5.1963
282.8890 5.6547 34.1929 5.5513
184.4266 5.1726 59.0523 5.2966
217.6851 4.9898 146.2527 5.0924
1243.0475 5.6516 1117.7790 5.4269
79.0074 5.9415 40.3709 5.7207
296.6053 4.9729 218.1768 5.0959
1243.2637 5.7524 42.4363 5.3970
35.2996 5.8698 8.0065 5.7207
201.1323 5.0906 55.7949 5.2504
21.0247 5.9284 6.3175 5.8154
167.1755 5.1558 65.9609 5.2966
207.3908 5.0540 62.5372 5.1000
392.1152 5.7524 34.8044 5.4974
84.9116 5.6814 6.6755 5.5601
210.9632 5.1726 60.1738 5.2966
188.9724 5.1726 60.8924 5.2966
3504.2743 5.1619 127.0977 5.2933
137.7913 5.2520 18.7665 5.4008
93.9608 5.9853 24.7663 5.7207
185.5979 5.2609 33.4443 5.2504
1335.8774 5.1724 125.8568 5.2933
78.9767 5.6123 15.8962 5.5601
4634.2652 5.3232 94.9410 5.3435
59.0635 5.7621 9.2508 5.6152
215.1578 5.0517 125.8512 5.1963
69.8434 5.6873 20.4005 5.5601
354.1623 4.8630 146.7738 4.9956
149.8620 5.2167 56.4399 5.3468
226.1390 4.9421 168.1864 5.0422
191.1947 5.1726 59.7077 5.2966
179.8764 5.1726 58.5866 5.2966
174.9655 5.3220 103.6314 5.2465
1322.4747 5.4661 62.3841 5.2401
110.6804 5.4247 31.2937 5.4008
236.7032 5.9544 97.0989 6.0323
309.1827 5.7085 73.7231 5.6765
304.0908 4.9215 76.0656 5.0959
297.5204 4.8723 84.2523 5.0458
2861.9945 5.0906 184.1177 5.2465
156.5089 5.3585 19.1783 5.3970
231.5938 4.9938 118.4787 5.1461
30.8800 5.8329 3.5157 5.7707
413.3771 4.8997 129.7331 5.0959
295.7663 4.9490 184.4971 5.0924
7.7656 7.7582 2.9294 5.9707
710.4795 4.9832 175.8756 5.1461
271.5736 4.8931 188.6499 5.0422
359.4988 4.8714 148.1306 4.9956
181.0622 5.1726 59.1582 5.2966
193.2315 5.1168 85.8600 5.2430
1311.1472 5.0609 201.8008 5.1963
165.6272 5.7524 23.0076 5.5513
182.0199 5.1008 97.5151 5.2465
263.2670 5.6561 911.8344 5.3650
8.1777 7.7582 4.2482 5.8707
451.6686 5.5392 419.7739 5.6330
193.4798 5.1726 59.0447 5.2966
86.2012 5.5967 8.6743 5.5100
273.2988 4.8672 164.3785 4.9920
4.1099 7.2596 2.0962 6.0208
1339.0149 5.1230 126.1186 5.2430
223.4836 4.9582 159.6746 5.0422
253.1333 4.9211 70.4128 5.0959
199.9432 4.9203 215.1637 5.0959
131.5988 5.3002 46.4314 5.3507
168.2136 5.3581 22.9467 5.3005
486.7541 5.7639 31.1696 5.4472
1578.2682 5.6178 54.8300 5.3970
2.6781 7.3176 1.4376 6.1821
165.5648 5.2250 42.3426 5.3507
187.2765 5.2487 41.9521 5.2504
176.5235 5.1703 72.2112 5.2966
154.6799 5.6923 24.1599 5.5513
85.5048 5.7779 64.0912 5.7764
69.3796 5.6637 10.6897 5.6152
44.3612 5.7447 3.7769 5.6707
5038.6405 5.1842 105.8185 5.2933
74.0942 6.0844 36.9905 6.1451
601.0565 5.1560 116.4360 5.2933
1160.4697 5.0283 225.7696 5.1963
34.3009 5.8824 7.9627 5.7207
8.6787 7.8269 1.7672 5.8764
8086.8064 5.1726 134.3661 5.2933
182.3323 5.1726 59.2290 5.2966
8246.2577 5.1473 122.8495 5.2933
168.1416 5.3220 22.3477 5.3005
495.2029 5.1181 207.2018 5.2465
364.3459 4.9124 207.8965 5.0959
174.8633 5.1703 72.3187 5.2966
1312.8441 5.0690 226.1172 5.2465
150.5720 5.2383 46.1854 5.2933
105.0724 5.6274 31.2564 5.4008
354.9673 5.8012 35.5881 5.4974
463.3876 4.8612 174.3631 4.9956
140.1994 5.2520 20.2757 5.4008
43.2751 6.0919 36.4089 6.1522
237.8351 4.9841 119.8144 5.1461
2336.3314 5.4437 66.2644 5.4472
2713.5291 5.2307 96.7790 5.2933
5.6897 7.3057 5.2506 6.3381
3.1018 7.2761 0.6574 6.2820
83.7298 6.0148 18.0000 6.1384
896.8672 5.3780 138.8210 5.3650
109.3401 6.0805 4.0768 6.0885
159.9667 5.2250 51.0735 5.3507
8253.5884 5.1860 109.9290 5.2933
187.3099 5.2487 40.1246 5.2504
195.3475 5.9664 91.3849 6.0822
1488.2286 5.5774 63.3853 5.3435
322.4030 5.0602 185.8667 5.1963
2263.6556 5.1414 110.9325 5.2430
143.1724 5.1861 65.1913 5.3507
168.5367 5.4677 23.5163 5.3507
499.0815 4.8587 194.1623 4.9920
28.4260 5.8482 2.2661 5.7707
36.5502 5.8698 6.8127 5.7207
184.7310 5.1152 36.5292 5.3005
85.6926 5.6814 28.8201 5.5053
758.5877 4.9541 185.6948 5.0959
40.8367 6.1008 34.5435 6.1522
420.5779 5.2787 77.6145 5.3435
176.2193 5.1726 59.6683 5.2966
235.0912 4.9938 119.2356 5.1461
200.6790 5.3312 23.4148 5.2966
192.5294 5.0667 39.6683 5.2504
110.0862 5.4184 76.7601 5.2966
47.5433 5.7794 3.3687 5.6707
416.2168 5.8633 512.9365 5.3708
5.4453 7.3057 4.9707 6.3381
19.5478 5.9275 1.3204 5.8707
153.0444 5.1975 59.3143 5.3507
213.7414 4.9883 162.2032 5.0959
4.4546 7.2596 2.3345 6.0208
22.8196 6.0446 9.4644 6.1883
3583.0855 5.3926 194.8915 5.4051
1118.5234 4.9882 218.6191 5.1461
351.2507 4.9046 193.2855 5.0458
199.8305 5.1152 52.2488 5.2504
1049.6521 4.9882 208.9142 5.1461
162.3147 6.0272 87.2545 6.0822
179.5623 5.3995 14.2890 5.3937
6848.8808 5.1473 142.0531 5.2933
184.8198 5.0799 34.6682 5.2504
1481.6082 5.0776 219.0487 5.2465
135.1424 5.8012 20.7694 5.6015
186.9697 5.1027 44.7784 5.2504
98.7377 5.4731 14.6443 5.3507
22.9620 5.8806 6.3805 5.7653
1487.8221 5.4814 55.9773 5.4472
