goesp_part_flux_P5M: (time -> (P1, P5, P10, P30, P50, P100, E_8, E2_0, E4_0, P60, P500))
2024-08-10 07:00:00 -> (5.965339660644531, 0.19833959639072418, 0.19133959710597992, 0.18333959579467773, 0.1823395937681198, 0.1813395917415619, -100000.0, 4.0, -100000.0, 0.1823395937681198, 0.1693395972251892)
2024-08-10 07:05:00 -> (5.670005798339844, 0.18400581181049347, 0.1770058125257492, 0.16900581121444702, 0.1680058091878891, 0.16700580716133118, -100000.0, 4.0, -100000.0, 0.1680058091878891, 0.16000580787658691)
2024-08-10 07:10:00 -> (6.165673732757568, 0.22067372500896454, 0.21367372572422028, 0.2056737244129181, 0.20467372238636017, 0.20067372918128967, -100000.0, 33.64558410644531, -100000.0, 0.20367372035980225, 0.19067372381687164)
2024-08-10 07:15:00 -> (5.115005970001221, 0.19200609624385834, 0.18400609493255615, 0.1770060956478119, 0.17600609362125397, 0.17400610446929932, -100000.0, 4.0, -100000.0, 0.17600609362125397, 0.1640060991048813)
2024-08-10 07:20:00 -> (6.707672595977783, 0.19767266511917114, 0.18967266380786896, 0.1826726645231247, 0.18167266249656677, 0.18067266047000885, -100000.0, 4.0, -100000.0, 0.18167266249656677, 0.16667266190052032)
2024-08-10 07:25:00 -> (6.481339454650879, 0.18333925306797028, 0.1753392517566681, 0.1673392504453659, 0.1673392504453659, 0.1633392572402954, -100000.0, 37.90795135498047, -100000.0, 0.16633924841880798, 0.16133925318717957)
2024-08-10 07:30:00 -> (6.345005989074707, 0.18700584769248962, 0.17900584638118744, 0.17200584709644318, 0.17100585997104645, 0.17000585794448853, -100000.0, 40.45423126220703, -100000.0, 0.17100585997104645, 0.1600058525800705)
2024-08-10 07:35:00 -> (7.681007385253906, 0.25400757789611816, 0.24600759148597717, 0.22800758481025696, 0.22800758481025696, 0.22500759363174438, -100000.0, 6.815944671630859, -100000.0, 0.22700758278369904, 0.2080075889825821)
2024-08-10 07:40:00 -> (6.219006061553955, 0.20100592076778412, 0.19300591945648193, 0.18600592017173767, 0.18500591814517975, 0.17700591683387756, -100000.0, 4.0, -100000.0, 0.18100592494010925, 0.15600591897964478)
2024-08-10 07:45:00 -> (6.628339767456055, 0.22233985364437103, 0.21433986723423004, 0.20733985304832458, 0.20633986592292786, 0.2033398598432541, -100000.0, 4.0, -100000.0, 0.20533986389636993, 0.18133985996246338)
2024-08-10 07:50:00 -> (6.145339488983154, 0.19733968377113342, 0.19033968448638916, 0.18233968317508698, 0.18133968114852905, 0.18033967912197113, -100000.0, 4.0, -100000.0, 0.18133968114852905, 0.17333967983722687)
2024-08-10 07:55:00 -> (7.267339706420898, 0.19133955240249634, 0.18333956599235535, 0.17633956670761108, 0.17533956468105316, 0.1723395586013794, -100000.0, 4.0, -100000.0, 0.17433956265449524, 0.16533955931663513)
2024-08-10 08:00:00 -> (6.0593390464782715, 0.1823391616344452, 0.174339160323143, 0.16633915901184082, 0.1653391569852829, 0.16333915293216705, -100000.0, 58.22810363769531, -100000.0, 0.1653391569852829, 0.1573391556739807)
2024-08-10 08:05:00 -> (5.838673114776611, 0.20767329633235931, 0.19967329502105713, 0.19267329573631287, 0.19167329370975494, 0.18767330050468445, -100000.0, 29.30470848083496, -100000.0, 0.19067329168319702, 0.17867329716682434)
2024-08-10 08:10:00 -> (6.950006008148193, 0.1920061707496643, 0.18400616943836212, 0.17600616812705994, 0.17500616610050201, 0.1740061640739441, -100000.0, 4.0, -100000.0, 0.17500616610050201, 0.16800616681575775)
2024-08-10 08:15:00 -> (7.515339374542236, 0.19233936071395874, 0.18433935940265656, 0.17633937299251556, 0.17633937299251556, 0.17433936893939972, -100000.0, 4.0, -100000.0, 0.17533937096595764, 0.1653393656015396)
2024-08-10 08:20:00 -> (7.343339443206787, 0.196339413523674, 0.18833941221237183, 0.18133941292762756, 0.18033941090106964, 0.1743394136428833, -100000.0, 4.0, -100000.0, 0.17733940482139587, 0.1653394103050232)
2024-08-10 08:25:00 -> (6.511673450469971, 0.2106734663248062, 0.20267346501350403, 0.19567346572875977, 0.19467346370220184, 0.19367347657680511, -100000.0, 4.0, -100000.0, 0.19467346370220184, 0.18267346918582916)
2024-08-10 08:30:00 -> (6.9653401374816895, 0.20634029805660248, 0.1983402967453003, 0.19134029746055603, 0.1903402954339981, 0.18934029340744019, -100000.0, 4.0, -100000.0, 0.1903402954339981, 0.1853403002023697)
2024-08-10 08:35:00 -> (6.102005958557129, 0.19000576436519623, 0.18200576305389404, 0.17400576174259186, 0.17300575971603394, 0.16900576651096344, -100000.0, 4.0, -100000.0, 0.17300575971603394, 0.16000576317310333)
2024-08-10 08:40:00 -> (6.654673099517822, 0.248673215508461, 0.24067322909832, 0.23267322778701782, 0.2316732257604599, 0.23067322373390198, -100000.0, 4.0, -100000.0, 0.2316732257604599, 0.17867322266101837)
2024-08-10 08:45:00 -> (6.5846734046936035, 0.21367359161376953, 0.20567359030246735, 0.19867359101772308, 0.19767360389232635, 0.19667360186576843, -100000.0, 4.0, -100000.0, 0.19667360186576843, 0.1866735965013504)
2024-08-10 08:50:00 -> (6.8690056800842285, 0.18000580370426178, 0.1720058023929596, 0.1640058010816574, 0.1640058010816574, 0.1630057990550995, -100000.0, 4.0, -100000.0, 0.1630057990550995, 0.15600579977035522)
2024-08-10 08:55:00 -> (6.19734001159668, 0.2143399864435196, 0.2063399851322174, 0.19833998382091522, 0.19833998382091522, 0.19633997976779938, -100000.0, 4.0, -100000.0, 0.1973399817943573, 0.18133997917175293)
2024-08-10 09:00:00 -> (5.9893388748168945, 0.18233905732631683, 0.17433905601501465, 0.16633905470371246, 0.16633905470371246, 0.16233904659748077, -100000.0, 4.0, -100000.0, 0.16533905267715454, 0.15733905136585236)
2024-08-10 09:05:00 -> (5.565673828125, 0.21767379343509674, 0.20967379212379456, 0.2026737928390503, 0.20167380571365356, 0.20067380368709564, -100000.0, 4.0, -100000.0, 0.20067380368709564, 0.1906737983226776)
