goesp_part_flux_P5M: (time -> (P1, P5, P10, P30, P50, P100, E_8, E2_0, E4_0, P60, P500))
2022-10-22 00:00:00 -> (0.4556806683540344, 0.3466806411743164, 0.34468066692352295, 0.33668065071105957, 0.33668065071105957, 0.3176806569099426, -100000.0, 70.11830139160156, -100000.0, 0.33168065547943115, 0.2426806539297104)
2022-10-22 00:05:00 -> (0.49068009853363037, 0.38168010115623474, 0.3796800971031189, 0.3366800844669342, 0.31368008255958557, 0.27468010783195496, -100000.0, 37.02290344238281, -100000.0, 0.30368009209632874, 0.23868009448051453)
2022-10-22 00:10:00 -> (0.40168049931526184, 0.2926805019378662, 0.28968051075935364, 0.2826805114746094, 0.28168052434921265, 0.2786805033683777, -100000.0, 67.56107330322266, -100000.0, 0.28168052434921265, 0.24668051302433014)
2022-10-22 00:15:00 -> (0.35768070816993713, 0.2786807119846344, 0.2756807208061218, 0.26868072152137756, 0.26868072152137756, 0.2616807222366333, -100000.0, 31.838993072509766, -100000.0, 0.26768073439598083, 0.25468072295188904)
2022-10-22 00:20:00 -> (0.46468114852905273, 0.3856811225414276, 0.38268113136291504, 0.3756811320781708, 0.36168113350868225, 0.3306811451911926, -100000.0, 4.0, -100000.0, 0.35368114709854126, 0.26668113470077515)
2022-10-22 00:25:00 -> (0.5130141377449036, 0.3200141191482544, 0.31801411509513855, 0.2940141260623932, 0.29301413893699646, 0.2850141227245331, -100000.0, 11.43554401397705, -100000.0, 0.28901413083076477, 0.2640141248703003)
2022-10-22 00:30:00 -> (0.47568145394325256, 0.33168143033981323, 0.32868143916130066, 0.2866814434528351, 0.2826814353466034, 0.28168144822120667, -100000.0, 13.372758865356445, -100000.0, 0.2826814353466034, 0.2706814408302307)
2022-10-22 00:35:00 -> (0.3756800889968872, 0.33368009328842163, 0.30468007922172546, 0.2886800765991211, 0.28668010234832764, 0.2726801037788391, -100000.0, 29.617979049682617, -100000.0, 0.28168007731437683, 0.2506800889968872)
2022-10-22 00:40:00 -> (0.49034667015075684, 0.37934666872024536, 0.31934666633605957, 0.3033466637134552, 0.30134665966033936, 0.3003466725349426, -100000.0, 4.0, -100000.0, 0.30134665966033936, 0.24534666538238525)
2022-10-22 00:45:00 -> (0.5006815791130066, 0.3186815679073334, 0.30968156456947327, 0.302681565284729, 0.30068156123161316, 0.29968157410621643, -100000.0, 4.0, -100000.0, 0.30068156123161316, 0.27068156003952026)
2022-10-22 00:50:00 -> (0.5210161209106445, 0.32801613211631775, 0.3260161280632019, 0.31901612877845764, 0.3180161416530609, 0.3090161383152008, -100000.0, 28.231441497802734, -100000.0, 0.31601613759994507, 0.288016140460968)
2022-10-22 00:55:00 -> (0.4813469350337982, 0.30134692788124084, 0.2993469536304474, 0.2923469543457031, 0.291346937417984, 0.283346951007843, -100000.0, 98.26111602783203, -100000.0, 0.2873469293117523, 0.24934694170951843)
2022-10-22 01:00:00 -> (0.41134506464004517, 0.2613450586795807, 0.24834506213665009, 0.24134506285190582, 0.24134506285190582, 0.22934506833553314, -100000.0, 137.23939514160156, -100000.0, 0.23734506964683533, 0.21334506571292877)
2022-10-22 01:05:00 -> (0.426013708114624, 0.38401371240615845, 0.3730137348175049, 0.3090137243270874, 0.30701372027397156, 0.29401370882987976, -100000.0, 64.86335754394531, -100000.0, 0.3050137162208557, 0.2560137212276459)
2022-10-22 01:10:00 -> (0.4710161089897156, 0.39201611280441284, 0.37601611018180847, 0.3630160987377167, 0.3610161244869232, 0.33701610565185547, -100000.0, 10.592506408691406, -100000.0, 0.35801610350608826, 0.28801611065864563)
2022-10-22 01:15:00 -> (0.7696788907051086, 0.3196788728237152, 0.3106788694858551, 0.254678875207901, 0.2536788582801819, 0.24667887389659882, -100000.0, 147.9413604736328, -100000.0, 0.2536788582801819, 0.22267886996269226)
2022-10-22 01:20:00 -> (0.7786810994148254, 0.5156810879707336, 0.42968109250068665, 0.3336810767650604, 0.328681081533432, 0.3276810944080353, -100000.0, 4.6204752922058105, -100000.0, 0.328681081533432, 0.27068108320236206)
2022-10-22 01:25:00 -> (0.6860122084617615, 0.29301223158836365, 0.2830122411251068, 0.25901222229003906, 0.25401222705841064, 0.25101223587989807, -100000.0, 4.0, -100000.0, 0.25401222705841064, 0.23601223528385162)
2022-10-22 01:30:00 -> (0.6296797394752502, 0.3056797683238983, 0.29467976093292236, 0.27167975902557373, 0.2696797549724579, 0.26367977261543274, -100000.0, 89.50818634033203, -100000.0, 0.26867976784706116, 0.24667976796627045)
2022-10-22 01:35:00 -> (0.632681667804718, 0.3386816680431366, 0.3296816647052765, 0.30568167567253113, 0.3046816885471344, 0.28968167304992676, -100000.0, 4.0, -100000.0, 0.2996816635131836, 0.2826816737651825)
2022-10-22 01:40:00 -> (0.49734553694725037, 0.2713455259799957, 0.26834553480148315, 0.2613455355167389, 0.25934553146362305, 0.2493455410003662, -100000.0, 59.11702346801758, -100000.0, 0.2573455274105072, 0.23334553837776184)
2022-10-22 01:45:00 -> (0.5993478894233704, 0.341347873210907, 0.338347852230072, 0.2993478775024414, 0.29734787344932556, 0.29234784841537476, -100000.0, 4.0, -100000.0, 0.29634785652160645, 0.2773478627204895)
2022-10-22 01:50:00 -> (0.5743476748466492, 0.4653477072715759, 0.4333477020263672, 0.31034770607948303, 0.3093476891517639, 0.3003476858139038, -100000.0, 15.690897941589355, -100000.0, 0.30734768509864807, 0.2693476974964142)
2022-10-22 01:55:00 -> (0.591015100479126, 0.3840150833129883, 0.3750150799751282, 0.3720150887966156, 0.37101510167121887, 0.3680150806903839, -100000.0, 4.0, -100000.0, 0.37101510167121887, 0.28401508927345276)
2022-10-22 02:00:00 -> (0.6216797828674316, 0.32067978382110596, 0.28967979550361633, 0.26567980647087097, 0.26567980647087097, 0.2636798024177551, -100000.0, 45.31473159790039, -100000.0, 0.26467978954315186, 0.24667979776859283)
2022-10-22 02:05:00 -> (0.5260137319564819, 0.3320137560367584, 0.3100137710571289, 0.29501375555992126, 0.29401376843452454, 0.2790137529373169, -100000.0, 5.022858619689941, -100000.0, 0.2890137732028961, 0.26001375913619995)
2022-10-22 02:10:00 -> (0.6740156412124634, 0.4560156762599945, 0.45301565527915955, 0.400015652179718, 0.3650156557559967, 0.317015677690506, -100000.0, 4.0, -100000.0, 0.3470156490802765, 0.2880156636238098)
2022-10-22 02:15:00 -> (0.48301419615745544, 0.3700141906738281, 0.3130141794681549, 0.2990141808986664, 0.29801419377326965, 0.2910141944885254, -100000.0, 4.0, -100000.0, 0.29801419377326965, 0.26801419258117676)
2022-10-22 02:20:00 -> (0.5126820802688599, 0.3256821036338806, 0.32268211245536804, 0.2996821105480194, 0.2986820936203003, 0.2936820983886719, -100000.0, 4.0, -100000.0, 0.2986820936203003, 0.2866820991039276)
2022-10-22 02:25:00 -> (0.6370154023170471, 0.3810153901576996, 0.3510153889656067, 0.3160153925418854, 0.31501540541648865, 0.3140154182910919, -100000.0, 4.0, -100000.0, 0.31501540541648865, 0.29201540350914)
2022-10-22 02:30:00 -> (0.6016801595687866, 0.37468016147613525, 0.3726801574230194, 0.3066801428794861, 0.2856801450252533, 0.2676801383495331, -100000.0, 4.0, -100000.0, 0.2736801505088806, 0.250680148601532)
2022-10-22 02:35:00 -> (0.7160146832466125, 0.45701465010643005, 0.4280146658420563, 0.3390146493911743, 0.33701464533805847, 0.3310146629810333, -100000.0, 4.0, -100000.0, 0.33701464533805847, 0.27601465582847595)
2022-10-22 02:40:00 -> (0.3776797354221344, 0.2906797230243683, 0.2876797318458557, 0.28067973256111145, 0.2786797285079956, 0.26367971301078796, -100000.0, 32.12470245361328, -100000.0, 0.2736797332763672, 0.24667972326278687)
2022-10-22 02:45:00 -> (0.38601410388946533, 0.3240140974521637, 0.3070141077041626, 0.30401411652565, 0.3020141124725342, 0.2940141260623932, -100000.0, 4.0, -100000.0, 0.30101412534713745, 0.2720141112804413)
2022-10-22 02:50:00 -> (0.6313464045524597, 0.372346431016922, 0.3423464298248291, 0.2693464159965515, 0.2693464159965515, 0.26634642481803894, -100000.0, 16.731502532958984, -100000.0, 0.2693464159965515, 0.24534642696380615)
2022-10-22 02:55:00 -> (0.5620138049125671, 0.4530138075351715, 0.40801382064819336, 0.30901381373405457, 0.3010138273239136, 0.29501381516456604, -100000.0, 40.448204040527344, -100000.0, 0.3010138273239136, 0.2600138187408447)
2022-10-22 03:00:00 -> (0.5213465690612793, 0.3393465578556061, 0.33034655451774597, 0.32634657621383667, 0.32634657621383667, 0.2803465723991394, -100000.0, 4.0, -100000.0, 0.3193465769290924, 0.2493465691804886)
2022-10-22 03:05:00 -> (0.6640158891677856, 0.3770158588886261, 0.36101585626602173, 0.3470158576965332, 0.34501585364341736, 0.3340158760547638, -100000.0, 4.0, -100000.0, 0.3420158624649048, 0.3000158667564392)
2022-10-22 03:10:00 -> (0.4910154938697815, 0.40301549434661865, 0.4010154902935028, 0.3610154986381531, 0.36001548171043396, 0.349015474319458, -100000.0, 4.0, -100000.0, 0.35901549458503723, 0.2880154848098755)
2022-10-22 03:15:00 -> (0.4876822233200073, 0.3756822347640991, 0.36468222737312317, 0.34168222546577454, 0.3396822214126587, 0.3346822261810303, -100000.0, 4.0, -100000.0, 0.33768224716186523, 0.29468223452568054)
2022-10-22 03:20:00 -> (0.5250149965286255, 0.3710149824619293, 0.36001497507095337, 0.3400149941444397, 0.3400149941444397, 0.33301499485969543, -100000.0, 13.240154266357422, -100000.0, 0.33701497316360474, 0.2760149836540222)
2022-10-22 03:25:00 -> (0.6196809411048889, 0.33268094062805176, 0.3226809501647949, 0.30268093943595886, 0.30168095231056213, 0.29368093609809875, -100000.0, 4.0, -100000.0, 0.2996809482574463, 0.2786809504032135)
2022-10-22 03:30:00 -> (0.4753468334674835, 0.3273468315601349, 0.3243468403816223, 0.2863468527793884, 0.2753468453884125, 0.2643468379974365, -100000.0, 4.0, -100000.0, 0.2723468244075775, 0.25734683871269226)
2022-10-22 03:35:00 -> (0.7880147695541382, 0.47701478004455566, 0.42401477694511414, 0.33501479029655457, 0.3190147876739502, 0.2940147817134857, -100000.0, 34.96599197387695, -100000.0, 0.30901479721069336, 0.2840147912502289)
2022-10-22 03:40:00 -> (0.6783469915390015, 0.3483469784259796, 0.33734697103500366, 0.29734697937965393, 0.2963469624519348, 0.28434696793556213, -100000.0, 4.0, -100000.0, 0.29434698820114136, 0.2653469741344452)
2022-10-22 03:45:00 -> (0.6326814889907837, 0.4096814692020416, 0.34768146276474, 0.2996814548969269, 0.29768145084381104, 0.2926814556121826, -100000.0, 4.0, -100000.0, 0.2956814765930176, 0.2826814651489258)
