goesp_part_flux_P5M: (time -> (P1, P5, P10, P30, P50, P100, E_8, E2_0, E4_0, P60, P500))
2018-08-25 00:00:00 -> (34.9, 0.271, 0.168, 0.067, 0.0556, 0.0283, 37700.0, 792.0, -100000.0, -100000.0, -100000.0)
2018-08-25 00:05:00 -> (27.1, 0.339, 0.297, 0.0916, 0.0803, 0.0362, 37600.0, 801.0, -100000.0, -100000.0, -100000.0)
2018-08-25 00:10:00 -> (29.2, 0.213, 0.159, 0.067, 0.0556, 0.0283, 37600.0, 774.0, -100000.0, -100000.0, -100000.0)
2018-08-25 00:15:00 -> (27.4, 0.383, 0.342, 0.281, 0.171, 0.0543, 35700.0, 758.0, -100000.0, -100000.0, -100000.0)
2018-08-25 00:20:00 -> (25.9, 0.38, 0.339, 0.135, 0.108, 0.0609, 36800.0, 725.0, -100000.0, -100000.0, -100000.0)
2018-08-25 00:25:00 -> (41.0, 0.607, 0.354, 0.067, 0.0556, 0.0283, 35600.0, 709.0, -100000.0, -100000.0, -100000.0)
2018-08-25 00:30:00 -> (24.0, 0.25, 0.209, 0.107, 0.0954, 0.0681, 35600.0, 697.0, -100000.0, -100000.0, -100000.0)
2018-08-25 00:35:00 -> (42.2, 0.569, 0.241, 0.067, 0.0556, 0.0283, 35500.0, 672.0, -100000.0, -100000.0, -100000.0)
2018-08-25 00:40:00 -> (23.6, 0.302, 0.261, 0.0949, 0.0699, 0.0386, 34300.0, 643.0, -100000.0, -100000.0, -100000.0)
2018-08-25 00:45:00 -> (41.6, 0.323, 0.151, 0.0897, 0.0783, 0.051, 33100.0, 599.0, -100000.0, -100000.0, -100000.0)
2018-08-25 00:50:00 -> (25.7, 0.249, 0.208, 0.149, 0.132, 0.0523, 33500.0, 594.0, -100000.0, -100000.0, -100000.0)
2018-08-25 00:55:00 -> (25.6, 0.185, 0.144, 0.0854, 0.074, 0.0342, 32700.0, 566.0, -100000.0, -100000.0, -100000.0)
2018-08-25 01:00:00 -> (36.3, 0.317, 0.166, 0.0874, 0.0602, 0.0283, 31900.0, 554.0, -100000.0, -100000.0, -100000.0)
2018-08-25 01:05:00 -> (43.4, 0.39, 0.195, 0.0939, 0.0616, 0.0283, 31700.0, 534.0, -100000.0, -100000.0, -100000.0)
2018-08-25 01:10:00 -> (46.9, 0.364, 0.143, 0.0808, 0.0587, 0.0283, 32300.0, 517.0, -100000.0, -100000.0, -100000.0)
2018-08-25 01:15:00 -> (25.5, 0.186, 0.145, 0.0867, 0.0646, 0.0302, 30300.0, 515.0, -100000.0, -100000.0, -100000.0)
2018-08-25 01:20:00 -> (23.5, 0.302, 0.261, 0.0996, 0.0882, 0.0609, 31300.0, 488.0, -100000.0, -100000.0, -100000.0)
2018-08-25 01:25:00 -> (40.6, 0.57, 0.221, 0.0699, 0.0585, 0.0312, 30400.0, 469.0, -100000.0, -100000.0, -100000.0)
2018-08-25 01:30:00 -> (23.0, 0.182, 0.128, 0.067, 0.0556, 0.0283, 31000.0, 475.0, -100000.0, -100000.0, -100000.0)
2018-08-25 01:35:00 -> (20.4, 0.181, 0.14, 0.0815, 0.0702, 0.0417, 30400.0, 448.0, -100000.0, -100000.0, -100000.0)
2018-08-25 01:40:00 -> (19.8, 0.194, 0.153, 0.0939, 0.0616, 0.0283, 30000.0, 436.0, -100000.0, -100000.0, -100000.0)
2018-08-25 01:45:00 -> (20.0, 0.386, 0.344, 0.107, 0.0956, 0.0683, 30000.0, 415.0, -100000.0, -100000.0, -100000.0)
2018-08-25 01:50:00 -> (18.9, 0.245, 0.204, 0.144, 0.102, 0.0402, 30000.0, 414.0, -100000.0, -100000.0, -100000.0)
2018-08-25 01:55:00 -> (19.2, 0.166, 0.125, 0.067, 0.0556, 0.0283, 30000.0, 405.0, -100000.0, -100000.0, -100000.0)
2018-08-25 02:00:00 -> (19.5, 0.202, 0.161, 0.067, 0.0556, 0.0283, 28900.0, 384.0, -100000.0, -100000.0, -100000.0)
2018-08-25 02:05:00 -> (31.8, 0.414, 0.217, 0.107, 0.0956, 0.0683, 28800.0, 380.0, -100000.0, -100000.0, -100000.0)
2018-08-25 02:10:00 -> (20.2, 0.406, 0.365, 0.117, 0.0646, 0.0283, 27900.0, 357.0, -100000.0, -100000.0, -100000.0)
2018-08-25 02:15:00 -> (20.4, 0.284, 0.242, 0.0743, 0.0572, 0.0283, 27400.0, 353.0, -100000.0, -100000.0, -100000.0)
2018-08-25 02:20:00 -> (23.1, 0.182, 0.128, 0.067, 0.0556, 0.0283, 23700.0, 305.0, -100000.0, -100000.0, -100000.0)
2018-08-25 02:25:00 -> (22.6, 0.209, 0.168, 0.11, 0.0981, 0.0708, 24200.0, 302.0, -100000.0, -100000.0, -100000.0)
2018-08-25 02:30:00 -> (21.8, 0.18, 0.139, 0.0802, 0.0631, 0.0302, 24500.0, 278.0, -100000.0, -100000.0, -100000.0)
2018-08-25 02:35:00 -> (22.9, 0.228, 0.174, 0.067, 0.0556, 0.0283, 22400.0, 270.0, -100000.0, -100000.0, -100000.0)
2018-08-25 02:40:00 -> (40.4, 0.563, 0.277, 0.148, 0.137, 0.0543, 23300.0, 258.0, -100000.0, -100000.0, -100000.0)
